dataset_group,dataset_file,process_count,resource_count,event_count,algorithm,detection_interval,runs,deadlock_detected,actual_deadlock_time,detected_deadlock_time,detection_latency,detection_frequency,detection_time_seconds,detection_overhead_seconds,max_wait_for_edges
large,large/large_random_28p.csv,28.000,45.000,78.000,dfs,2,5,True,60.000,61.000,1.000,39.000,0.000001085,0.000042297,33.000
large,large/large_random_28p.csv,28.000,45.000,78.000,dfs,5,5,True,60.000,64.000,4.000,16.000,0.000001056,0.000016903,33.000
large,large/large_random_28p.csv,28.000,45.000,78.000,dfs,10,5,True,60.000,69.000,9.000,8.000,0.000001065,0.000008518,33.000
large,large/large_random_31p_case04.csv,31.000,49.000,71.000,bfs,1,5,True,56.000,56.000,0.000,71.000,0.000003537,0.000251140,22.000
large,large/large_random_31p_case04.csv,31.000,49.000,71.000,bfs,2,5,True,56.000,57.000,1.000,36.000,0.000003522,0.000126780,22.000
large,large/large_random_31p_case04.csv,31.000,49.000,71.000,bfs,5,5,True,56.000,59.000,3.000,15.000,0.000003422,0.000051324,22.000
large,large/large_random_31p_case04.csv,31.000,49.000,71.000,bfs,10,5,True,56.000,59.000,3.000,8.000,0.000003708,0.000029665,22.000
large,large/large_random_31p_case04.csv,31.000,49.000,71.000,dfs,1,5,True,56.000,56.000,0.000,71.000,0.000001340,0.000095108,22.000
large,large/large_random_31p_case04.csv,31.000,49.000,71.000,dfs,2,5,True,56.000,57.000,1.000,36.000,0.000001152,0.000041464,22.000
large,large/large_random_31p_case04.csv,31.000,49.000,71.000,dfs,5,5,True,56.000,59.000,3.000,15.000,0.000001152,0.000017287,22.000
large,large/large_random_31p_case04.csv,31.000,49.000,71.000,dfs,10,5,True,56.000,59.000,3.000,8.000,0.000001112,0.000008893,22.000
large,large/large_random_34p_case05.csv,34.000,54.000,73.000,bfs,1,5,True,58.000,58.000,0.000,73.000,0.000004219,0.000308002,19.000
large,large/large_random_34p_case05.csv,34.000,54.000,73.000,bfs,2,5,True,58.000,59.000,1.000,37.000,0.000004210,0.000155780,19.000
large,large/large_random_34p_case05.csv,34.000,54.000,73.000,bfs,5,5,True,58.000,59.000,1.000,15.000,0.000004385,0.000065782,19.000
large,large/large_random_34p_case05.csv,34.000,54.000,73.000,bfs,10,5,True,58.000,59.000,1.000,8.000,0.000004092,0.000032734,19.000
large,large/large_random_34p_case05.csv,34.000,54.000,73.000,dfs,1,5,True,58.000,58.000,0.000,73.000,0.000001400,0.000102169,19.000
large,large/large_random_34p_case05.csv,34.000,54.000,73.000,dfs,2,5,True,58.000,59.000,1.000,37.000,0.000001391,0.000051483,19.000
large,large/large_random_34p_case05.csv,34.000,54.000,73.000,dfs,5,5,True,58.000,59.000,1.000,15.000,0.000001321,0.000019810,19.000
large,large/large_random_34p_case05.csv,34.000,54.000,73.000,dfs,10,5,True,58.000,59.000,1.000,8.000,0.000001235,0.000009883,19.000
very_large,very_large/very_large_random_38p_case02.csv,38.000,59.000,89.000,bfs,1,5,True,72.000,72.000,0.000,89.000,0.000005193,0.000462163,30.000
very_large,very_large/very_large_random_38p_case02.csv,38.000,59.000,89.000,bfs,2,5,True,72.000,73.000,1.000,45.000,0.000004905,0.000220733,30.000
very_large,very_large/very_large_random_38p_case02.csv,38.000,59.000,89.000,bfs,5,5,True,72.000,74.000,2.000,18.000,0.000004949,0.000089074,30.000
